Key,Item Type,Publication Year,Author,Title,Data Source (Parameterization),Model Objective (optional),Sensitivity Analysis,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Who?,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author
9LH8NMBX,journalArticle,2022,"Malleson, N.; Birkin, M.; Birks, D.; Ge, J.; Heppenstall, A.; Manley, E.; McCulloch, J.; Ternes, P.",Agent-based modelling for Urban Analytics: State of the art and challenges,NA,NA,NA,AI Communications,,,10.3233/AIC-220114,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140832910&doi=10.3233%2FAIC-220114&partnerID=40&md5=b6a0f9b0941e86fc22583c6c84dd532f,"Agent-based modelling (ABM) is a facet of wider Multi-Agent Systems (MAS) research that explores the collective behaviour of individual agents', and the implications that their behaviour and interactions have for wider systemic behaviour. The method has been shown to hold considerable value in exploring and understanding human societies, but is still largely confined to use in academia. This is particularly evident in the field of Urban Analytics; one that is characterised by the use of new forms of data in combination with computational approaches to gain insight into urban processes. In Urban Analytics, ABM is gaining popularity as a valuable method for understanding the low-level interactions that ultimately drive cities, but as yet is rarely used by stakeholders (planners, governments, etc.) to address real policy problems. This paper presents the state-of-the-art in the application of ABM at the interface of MAS and Urban Analytics by a group of ABM researchers who are affiliated with the Urban Analytics programme of the Alan Turing Institute in London (UK). It addresses issues around modelling behaviour, the use of new forms of data, the calibration of models under high uncertainty, real-time modelling, the use of AI techniques, large-scale models, and the implications for modelling policy. The discussion also contextualises current research in wider debates around Data Science, Artificial Intelligence, and MAS more broadly. © 2022 - IOS Press. All rights reserved.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,393-406,,4,35,,,,,,,,,,,,,rayyan-448618408,,,,,C:\Users\Thiago\Zotero\storage\9ADXEY8C\Malleson et al. - 2022 - Agent-based modelling for Urban Analytics State of the art and challenges.pdf,,Agent-Based Modelling (ABM); Multi-Agent Systems (MAS) research; Urban Analytics,,,,,,,
92LZA7GG,journalArticle,2022,"Valinejad, J.; Mili, L.; Van Der Wal, C.N.",Multi-Agent Based Stochastic Dynamical Model to Measure Community Resilience,Hybrid,Decision Support / Policy Evaluation,"Exploratory / Scenario-based, Regression / Statistical Inference",Journal of Social Computing,,,10.23919/JSC.2022.0008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144115541&doi=10.23919%2FJSC.2022.0008&partnerID=40&md5=55e5135ca2c49be9305c7d6397fbe516,"Emergency services and utilities need appropriate planning tools to analyze and improve infrastructure and community resilience to disasters. Recognized as a key metric of community resilience is the social well-being of a community during a disaster, which is made up of mental and physical social health. Other factors influencing community resilience directly or indirectly are emotional health, emergency services, and the availability of critical infrastructures services, such as food, agriculture, water, transportation, electric power, and communications system. It turns out that in computational social science literature dealing with community resilience, the role of these critical infrastructures along with some important social characteristics is not considered. To address these weaknesses, we develop a new multi-agent based stochastic dynamical model, standardized by overview, design concepts, details, and decision (ODD+D) protocol and derived from neuro-science, psychological and social sciences, to measure community resilience in terms of mental and physical well-being. Using this model, we analyze the micro-macro level dependence between the emergency services and power systems and social characteristics such as fear, risk perception, information-seeking behaviour, cooperation, flexibility, empathy, and experience, in an artificial society. Furthermore, we simulate this model in two case studies and show that a high level of flexibility, experience, and cooperation enhances community resilience. Implications for both theory and practice are discussed. © 2020 Tsinghua University Press.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,262-286,,3,3,,,,,,,,,,,,,rayyan-448618409,,,,,C:\Users\Thiago\Zotero\storage\PLC6TLEI\Valinejad et al. - 2022 - Multi-Agent Based Stochastic Dynamical Model to Measure Community Resilience.pdf,,power systems; and decision (ODD+D); artificial society; collective behavior; community resilience; critical infrastructures; cyber-physical-social system; design concepts; details; emergency services; overview,,,,,,,
MZM83VEI,journalArticle,2022,"Safarzyńska, K.; van den Bergh, J.C.J.M.",ABM-IAM: optimal climate policy under bounded rationality and multiple inequalities,Hybrid,Decision Support / Policy Evaluation,"Exploratory / Scenario-based, Local (OAT/OFAT)",Environmental Research Letters,,,10.1088/1748-9326/ac8b25,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137625138&doi=10.1088%2F1748-9326%2Fac8b25&partnerID=40&md5=d2d490db6d1488cbaeaced4e9705eeb4,"Despite considerable concern about potentially inequitable effects of climate policy, models fall short in assessing their implications for policy design. To address this issue, we develop an agent-based climate-economy model, agent-based modelling-Integrated Assessment Model, as a disaggregated, behavioural approach to integrated climate assessment. It describes networks of heterogeneous consumers, banks, power plants and firms, and is calibrated on patterns of growth and carbon dioxide emissions generated by the DICE model of Nordhaus. Whereas the latter assumes full employment and abstains from a financial sector and inequality considerations, our approach relaxes these restrictions to obtain a more reliable assessment of climate policy impacts. We show that inequalities in labour and capital income serve as essential but overlooked links between climate-change damages and optimal climate policy. Our result show that lower inequalities of labour income increase the social cost of carbon (SCC), while the impact of capital income inequalities on the SCC depends on the share of population receiving capital rents. © 2022 The Author(s). Published by IOP Publishing Ltd.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,9,17,,,,,,,,,,,,,rayyan-448618413,,,,,C:\Users\Thiago\Zotero\storage\8ZP9MC9L\Safarzyńska e van den Bergh - 2022 - ABM-IAM optimal climate policy under bounded rationality and multiple inequalities.pdf,,agent-based modelling; climate policy; social cost of carbon,,,,,,,
6VEUW99L,journalArticle,2022,"Walzberg, J.; Cooperman, A.; Watts, L.; Eberle, A.L.; Carpenter, A.; Heath, G.A.",Regional representation of wind stakeholders’ end-of-life behaviors and their impact on wind blade circularity,Hybrid,Decision Support / Policy Evaluation,"Global (Variance-based), Metamodeling / Surrogate",iScience,,,10.1016/j.isci.2022.104734,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134646390&doi=10.1016%2Fj.isci.2022.104734&partnerID=40&md5=d308b987e1724ab1a0fa7fafdc461d58,"The growing number of end-of-life (EOL) wind blades could further strain US landfills or be a valuable composite materials source, depending on stakeholders’ behaviors. Technical solutions based on circular economy (CE) principles have been proposed but are not guaranteed to solve the issue of EOL management. Transitioning to CE implies changing how business models, supply chains, and behaviors deal with products and waste. A spatially resolved agent-based modeling combined with a machine-learning metamodel shows that including behavioral factors is crucial to designing effective policies. Logistical barriers and transportation costs significantly affect the results: lowering blade shredding costs by a third before transportation makes EOL blades a source of valuable materials, decreasing the 2050 cumulative landfill rate below 50%. In another scenario, parameter settings simulating policy interventions aiming at boosting early adoption incites new social norms favorable to recycling, lowering the cumulative landfill rate below 10%. © 2022 The Author(s)",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,8,25,,,,,,,,,,,,,rayyan-448618419,,,,,C:\Users\Thiago\Zotero\storage\3ENN5FXQ\Walzberg et al. - 2022 - Regional representation of wind stakeholders’ end-of-life behaviors and their impact on wind blade c.pdf,,Energy resources; Energy policy; Energy Modeling; Energy sustainability,,,,,,,
7VI64ESX,journalArticle,2022,"Lux, T.",Bayesian Estimation of Agent-Based Models via Adaptive Particle Markov Chain Monte Carlo,"Empirical (macro), ""Synthetic (machine learning, AI, other)""",Descriptive / Phenomena-based,Regression / Statistical Inference,Computational Economics,,,10.1007/s10614-021-10155-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110936373&doi=10.1007%2Fs10614-021-10155-0&partnerID=40&md5=0a9ade8cd797174f2f38b2712a854b0b,"Over the last decade, agent-based models in economics have reached a state of maturity that brought the tasks of statistical inference and goodness-of-fit of such models on the agenda of the research community. While most available papers have pursued a frequentist approach adopting either likelihood-based algorithms or simulated moment estimators, here we explore Bayesian estimation using a Markov chain Monte Carlo approach (MCMC). One major problem in the design of MCMC estimators is finding a parametrization that leads to a reasonable acceptance probability for new draws from the proposal density. With agent-based models the appropriate choice of the proposal density and its parameters becomes even more complex since such models often require a numerical approximation of the likelihood. This brings in additional factors affecting the acceptance rate as it will also depend on the approximation error of the likelihood. In this paper, we take advantage of a number of recent innovations in MCMC: We combine Particle Filter Markov Chain Monte Carlo as proposed by Andrieu et al. (J R Stat Soc B 72(Part 3):269–342, 2010) with adaptive choice of the proposal distribution and delayed rejection in order to identify an appropriate design of the MCMC estimator. We illustrate the methodology using two well-known behavioral asset pricing models. © 2021, The Author(s).",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,451-477,,2,60,,,,,,,,,,,,,rayyan-448618427,,,,,C:\Users\Thiago\Zotero\storage\BZ47QKRM\Lux - 2022 - Bayesian Estimation of Agent-Based Models via Adaptive Particle Markov Chain Monte Carlo.pdf,,Agents-based models; Makov chain Monte Carlo; Particle filter,,,,,,,
CQ8UR4GQ,journalArticle,2022,"Nouri, A.; Saghafian, B.; Bazargan-Lari, M.R.; Delavar, M.; Hassanjabbar, A.",Impact of Penalty Policy on Farmers' Overexploitation Based on Agent-Based Modeling Framework,,,,Journal of Water Resources Planning and Management,,,10.1061/(ASCE)WR.1943-5452.0001543,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126978272&doi=10.1061%2F%28ASCE%29WR.1943-5452.0001543&partnerID=40&md5=135c82ab8bb9ca7433bbc53bdc3643b2,"One strategy to deal with unauthorized groundwater withdrawals by farmers is to impose penalties. Because farmers' over-exploitation is subject to social, economic, cultural, and agricultural characteristics of the region, feedback assessments of a penalty policy using socio-economic simulation is indispensable. This study presents an agent-based framework to study the interaction among agricultural, environmental, and regulator agents within an agricultural system. The behavior of the agricultural sector was simulated at two levels: agricultural sub-agents, and agricultural group-agents. For agricultural sub-agents, individual benefit was maximized under behavioral and physical constraints simulated by a fuzzy inference system (FIS) and mathematical programing. A coupled linear optimization and nondominated sorting genetic algorithm (NSGA-II) were adopted to identify the best solution, from the agricultural sector's viewpoint. The proposed framework was implemented in the Najaf Abad hydrological unit, situated in Isfahan province, central Iran, considering fixed and stepwise penalty approaches. Sensitivity analysis of the amount of base penalty in the fixed penalty scenario indicated that, under a $0.12 per cubic meter penalty, the annual over-exploitation declined from the current 79 million cubic meters (MCM) to zero. Furthermore, the results indicated that if the width of the step increased from 1 to 9 MCM/year, the over-exploitation increased by about 18 MCM/year. © 2022 American Society of Civil Engineers.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,5,148,,,,,,,,,,,,,rayyan-448618448,,,,,,,Agent-based model; Fuzzy inference system (FIS); Groundwater over-exploitation; Najaf Abad; Nondominated sorting genetic algorithm (NSGA-II); Penalty pattern,,,,,,,
AFZPZTRP,journalArticle,2022,"Liuzzi, D.; Vié, A.",Staring at the Abyss: a neurocognitive grounded agent-based model of collective-risk social dilemma under the threat of environmental disaster,Theoretical (literature),Theoretical / Illustrative,"Global (Variance-based), Regression / Statistical Inference",Journal of Economic Interaction and Coordination,,,10.1007/s11403-022-00347-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125385357&doi=10.1007%2Fs11403-022-00347-8&partnerID=40&md5=157e25b678426a1c7277ba14a70707fc,"Increasingly visible climate change consequences challenge carbon-based economies worldwide. While expert knowledge on climate change percolates through political initiatives and public awareness, its translation into large-scale policy actions appears limited. Climate change consequences unequally target regions, countries and social classes, a vital issue for social cooperation. When facing an imminent ecological collapse, in which conditions can self-interested agents gain environmental awareness and settle on a sustainable path of actions when their knowledge of the imminent collapse is bounded? This cooperation emerges from the interaction between individuals and the interaction of various cognitive processes within individuals. This article develops an agent-based model for this emergence of cooperation enriched with the Agent Zero neurocognitive grounded cognitive architecture. We investigate when agents endowed with deliberative, affective and social modules can settle on actions that safeguard their environment through numerical simulations. Our results show that cooperation on sustainable actions is the strongest when the system is at the edge of collapse. Policy measures that increase the environment’s resilience become internalized by the agents and undermine awareness of the ecological catastrophe. Depending on the cognitive channels activated, agent behaviors and reactions to specific interventions significantly vary. Our analysis suggests that taking different cognitive channels, deliberative, affective, social, and others into account, significantly impact results. The complexity of agent cognition deserves more attention to assess parameter sensitivity in social simulation models. © 2022, The Author(s).",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,613-637,,2,17,,,,,,,,,,,,,rayyan-448618454,,,,,C:\Users\Thiago\Zotero\storage\I7C7RVNW\Liuzzi e Vié - 2022 - Staring at the Abyss a neurocognitive grounded agent-based model of collective-risk social dilemma.pdf,,Agent-based model; Climate change; Dispositional contagion; Regime shifts; Social dilemma,,,,,,,
WUXJJLI9,journalArticle,2022,"Dignum, E.; Athieniti, E.; Boterman, W.; Flache, A.; Lees, M.",Mechanisms for increased school segregation relative to residential segregation: a model-based analysis,Theoretical (literature),Exploratory,"Global (Variance-based), Local (OAT/OFAT)","Computers, Environment and Urban Systems",,,10.1016/j.compenvurbsys.2022.101772,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124151690&doi=10.1016%2Fj.compenvurbsys.2022.101772&partnerID=40&md5=a5aafe02dcfe185981be14848ec1926d,"Excess school segregation is a phenomena observed across many countries and one common explanation from the literature is the hypothesis that parents might want to live in a diverse neighbourhood, but when it comes to their children, they are less tolerant with respect to school compositions. This study uses an agent-based model where households face residential decisions depending on neighbourhood compositions and make school choices based on distance and school compositions. Results indicate that increased school segregation relative to residential segregation can be observed in large parts of the parameter space, even when the tolerance for households belonging to the other group is equal for neighbourhood and school compositions. Our results demonstrate that asymmetric preferences are not a requirement for excess school segregation and show that residential segregation combined with distance preferences play a key role in this increase. © 2022 The Authors",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,,93,,,,,,,,,,,,,rayyan-448618455,,,,,C:\Users\Thiago\Zotero\storage\HGIYN5QD\Dignum et al. - 2022 - Mechanisms for increased school segregation relative to residential segregation a model-based analy.pdf,,Agent-based modelling; Complex systems; Complexity; Residential segregation; School choice; School segregation,,,,,,,
LXA3ENLC,journalArticle,2022,"Gürsoy, F.; Badur, B.",An Agent-Based Modeling Approach to Brain Drain,Hybrid,Decision Support / Policy Evaluation,"Local (OAT/OFAT), Metamodeling / Surrogate, Regression / Statistical Inference",IEEE Transactions on Computational Social Systems,,,10.1109/TCSS.2021.3066074,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103304708&doi=10.1109%2FTCSS.2021.3066074&partnerID=40&md5=f9b7765ff5a8f45fd8c1d1454ec729cd,"The phenomenon of brain drain, which is the emigration of highly skilled people, has many undesirable effects, particularly for developing countries. In this study, an agent-based model is developed to understand the dynamics of such emigration. We hypothesize that skilled people's emigration decisions are based on several factors including the overall economic and social difference between the home and host countries, people's ability and capacity to obtain good jobs and start a life abroad, and the barriers of moving abroad. Furthermore, the social network of individuals also plays a significant role. The model is validated using qualitative and quantitative pattern matching with real-world observations. Sensitivity and uncertainty analyses are performed in addition to several scenario analyses. Linear and random forest response surface models are created to provide quick predictions on the number of emigrants and to understand the effect sizes of individual parameters. Overall, this study provides an abstract model where brain drain dynamics can be explored. Findings from the simulation outputs show that the future socioeconomic state of the country is more important than the current state, lack of barriers results in a large number of emigrants, and network effects ensure compounding effects on emigration. Upon further development and customization, future versions can assist in the decision-making of social policymakers regarding brain drain. © 2014 IEEE.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,356-365,,2,9,,,,,,,,,,,,,rayyan-448618458,,,,,C:\Users\Thiago\Zotero\storage\AWM53DHS\Gürsoy e Badur - 2022 - An Agent-Based Modeling Approach to Brain Drain.pdf,,Agent-based model; migration; social simulation; brain drain; network effects; policy design,,,,,,,
QD8BPBR6,journalArticle,2022,"Salvo, D.; Lemoine, P.; Janda, K.M.; Ranjit, N.; Nielsen, A.; van den Berg, A.","Exploring the Impact of Policies to Improve Geographic and Economic Access to Vegetables among Low-Income, Predominantly Latino Urban Residents: An Agent-Based Model","Hybrid, Empirical (micro)",Decision Support / Policy Evaluation,Exploratory / Scenario-based,Nutrients,,,10.3390/nu14030646,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123894155&doi=10.3390%2Fnu14030646&partnerID=40&md5=262dc9605950148f2bda7562c4c547bf,"Modifying the food environment of cities is a promising strategy for improving dietary behaviors, but using traditional empirical methods to test the effectiveness of these strategies remains challenging. We developed an agent-based model to simulate the food environment of Austin, Texas, USA, and to test the impact of different food access policies on vegetable consumption among low-income, predominantly Latino residents. The model was developed and calibrated using empirical data from the FRESH-Austin Study, a natural experiment. We simulated five policy scenarios: (1) business as usual; (2)–(4) expanding geographic and/or economic healthy food access via the Fresh for Less program (i.e., through farm stands, mobile markets, and healthy corner stores); and (5) expanding economic access to vegetables in supermarkets and small grocers. The model predicted that increasing geographic and/or economic access to healthy corner stores will not meaningfully improve vegetable intake, whilst implementing high discounts (>85%) on the cost of vegetables, or jointly increasing geographic and economic access to mobile markets or farm stands, will increase vegetable intake among low-income groups. Implementing discounts at supermarkets and small grocers is also predicted to be an effective policy for increasing vegetable consumption. This work highlights the utility of agent-based modeling for informing food access policies. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,3,14,,,,,,,,,,,,,rayyan-448618475,,,,,C:\Users\Thiago\Zotero\storage\KWI8MK98\Salvo et al. - 2022 - Exploring the Impact of Policies to Improve Geographic and Economic Access to Vegetables among Low-I.pdf,,Dietary behaviors; Food environment; Food policy; Low-income groups; Systems science,,,,,,,
8ZLR3WDT,journalArticle,2022,"Kilani, M.; Diop, N.; De Wolf, D.",A Multimodal Transport Model to Evaluate Transport Policies in the North of France,Empirical (micro),Decision Support / Policy Evaluation,Exploratory / Scenario-based,Sustainability (Switzerland),,,10.3390/su14031535,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123510410&doi=10.3390%2Fsu14031535&partnerID=40&md5=0f258294a2b9feaa7fb3df56e9a321f6,"We developed a passenger transport model for the North of France and used it to discuss the impacts of some policies focusing on the limitations of polluting gas emissions and congestion. The model is calibrated for the North of France and includes both urban and intercity trips. Four transport modes are considered: walking, biking, public transport and private cars. To some extent, the combination of these modes is possible. The model is calibrated to match mode shares and the dynamic of congestion along a full day. The simulations are conducted within the MATSim framework. We evaluate the impacts, on traffic flows and polluting gas emissions, of two pricing reforms: free public transport and road pricing in city center of Lille (the main metropolitan area in the study region). Free public transport yields a significant modal shift towards public transport, resulting in a reduction in the usage of private cars. The road pricing scheme we have considered results in similar impacts but with limited magnitude. Overall, a significant reduction in congestion and emissions of pollutant gases can be obtained by applying convenient pricing reforms. Since we use an agent-based model, we are able to identify the specific location of the main impacts on the network. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,3,14,,,,,,,,,,,,,rayyan-448618476,,,,,C:\Users\Thiago\Zotero\storage\WKJES6N2\Kilani et al. - 2022 - A Multimodal Transport Model to Evaluate Transport Policies in the North of France.pdf,,Multimodal transport; Calibration of transport models; Cordon pricing; Emissions and congestion; Free public transport; Transport simulation (MATSim),,,,,,,
ZUBDUJYD,journalArticle,2022,"Marvuglia, A.; Bayram, A.; Baustert, P.; Gutiérrez, T.N.; Igos, E.",Agent-based modelling to simulate farmers’ sustainable decisions: Farmers’ interaction and resulting green consciousness evolution,"Hybrid, Empirical (micro)","Decision Support / Policy Evaluation, Exploratory",Exploratory / Scenario-based,Journal of Cleaner Production,,,10.1016/j.jclepro.2021.129847,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121116658&doi=10.1016%2Fj.jclepro.2021.129847&partnerID=40&md5=44b2be26f67b58c9b4c03e49f7347337,"Agent-based models (ABMs) have been adopted to simulate different kinds of complex systems, from biological systems to complex coupled human-natural systems (CHANS). In particular, when used to simulate man-managed systems, they allow considering human behavioural aspects within the modelling framework. On the other hand, environmental Life Cycle Assessment (LCA) has become an acknowledged tool in research, industry and policy to assess systems’ environmental sustainability. More recently, LCA is being applied to assess the potential environmental impacts of large scale policy actions (e.g., actions to combat climate change). This paper describes the application of a coupled ABM-LCA model to simulate cropping activities in the Grand Duchy of Luxembourg. The ABM considers farmers’ proneness to risk, which was assessed via a naïve Bayesian model trained with the results of a survey distributed to the farmers of the study region. The goal of the study is to assess the effects of the agents’ interactions, that can take place in a farmers’ social network, on the agricultural activities. Geographic Information System (GIS) information, national statistics and naïve Bayesian model are used to parameterize agents’ behaviour and interaction rules. We believe such assessment is necessary for the successful design of public adaptation strategies and subsidy schemes since governmental adaptation actions are needed to reduce emissions due to agricultural activities. Two scenarios (with different levels of farmers’ environmental awareness) were simulated. The results show that the mean and variance of the distribution of farmers’ environmental awareness change due to the effect of the interactions and, as a consequence, farmers’ long-term decisions concerning agricultural activities are affected. This is reflected in the environmental impacts generated by such activities. © 2021",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,,332,,,,,,,,,,,,,rayyan-448618480,,,,,,,Agent-based modelling; Life cycle assessment; Social interaction; Farm management; Green consciousness; Risk aversion,,,,,,,
5QMQMKFH,journalArticle,2022,"Piras, S.; Righi, S.; Setti, M.; Koseoglu, N.; Grainger, M.J.; Stewart, G.B.; Vittuari, M.",From social interactions to private environmental behaviours: The case of consumer food waste,Hybrid,"Decision Support / Policy Evaluation, Exploratory","Exploratory / Scenario-based, Regression / Statistical Inference","Resources, Conservation and Recycling",,,10.1016/j.resconrec.2021.105952,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116908556&doi=10.1016%2Fj.resconrec.2021.105952&partnerID=40&md5=62cbe4a1835c0b3a4a4d49be63a3f972,"Consumer food waste, like many environmental behaviours, takes place in private, and is not directly subject to social monitoring. Nevertheless, social interactions can affect private opinions and behaviours. This paper builds an agent-based model of interactions between consumers heterogeneous in their sociability, their initial opinions and behaviours related to food waste, and their willingness to consider different opinions, in order to assess how social interactions can affect private behaviours. Compared to existing models of opinion dynamics, we innovate by including a range of “cognitive dissonance” between stated opinions and actual behaviours that consumers are willing to accept before changing one of the two. We calibrate the model using questionnaire data on household food waste in Italy. We find that a limited degree of mixing between different socio-demographic groups, namely adult and young consumers, is enough to trigger change, but a certain openness of mind is required from more wasteful individuals. Equally, a small group of environmentally committed consumers can attract a sizeable share of the population towards low-waste behaviours if they show a certain variability of opinions and are willing to compromise with individuals in their close neighbourhood in terms of opinions. These findings can help design effective interventions to promote pro-environmental behaviours, taking advantage of the beneficial network effects while anticipating negative externalities. © 2021",Thiago,2022,2026-03-17 21:30:24,2026-03-17 21:30:24,,,,,176,,,,,,,,,,,,,rayyan-448618495,,,,,C:\Users\Thiago\Zotero\storage\G3ZYGC32\Piras et al. - 2022 - From social interactions to private environmental behaviours The case of consumer food waste.pdf,,Agent-based model; Social interactions; Cognitive dissonance; Consumer behaviour; Consumer opinion; Food waste,,,,,,,
UNAJ66QT,journalArticle,2021,"Mansouri, A.; Taghiyareh, F.",Phase Transition in the Social Impact Model of Opinion Formation in Log-Normal Networks,"Theoretical (literature), ""Synthetic (machine learning, AI, other)""","Theoretical / Illustrative, Explanatory","Exploratory / Scenario-based, Local (OAT/OFAT)",Journal of Information Systems and Telecommunication,,,10.52547/jist.9.33.1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104749023&doi=10.52547%2Fjist.9.33.1&partnerID=40&md5=6a53d038236e8422b10ea32f919fbdb4,"People may change their opinions as a consequence of interacting with others. In the literature, this phenomenon is expressed as opinion formation and has a wide range of applications, including predicting social movements, predicting political voting results, and marketing. The interactions could be face-to-face or via online social networks. The social opinion phases are categorized into consensus, majority, and non-majority. In this research, we study phase transitions due to interactions between connected people with various noise levels using agent-based modeling and a computational social science approach. Two essential factors affect opinion formations: the opinion formation model and the network topology. We assumed the social impact model of opinion formation, a discrete binary opinion model, appropriate for both face-to-face and online interactions for opinion formation. For the network topology, scale-free networks have been widely used in many studies to model real social networks, while recent studies have revealed that most social networks fit log-normal distributions, which we considered in this study. Therefore, the main contribution of this study is to consider the log-normal distribution network topology in phase transitions in the social impact model of opinion formation. The results reveal that two parameters affect the phase transition: noise level and segregation. A non-majority phase happens in equilibrium in high enough noise level, regardless of the network topology, and a majority phase happens in equilibrium in lower noise levels. However, the segregation, which depends on the network topology, affects opinion groups‟ population. A comparison with the scale-free network topology shows that in the scale-free network, which have a more segregated topology, resistance of segregated opinion groups against opinion change causes a slightly different phase transition at low noise levels. EI (External-Internal) index has been used to measure segregations, which is based on the difference between between-group (External) links and within-group (Internal) links. © 2021. All Rights Reserved.",Thiago,2021,2026-03-17 21:30:25,2026-03-17 21:30:25,,1-14,,33,9,,,,,,,,,,,,,rayyan-448618509,,,,,,,,,,,,,,
3V3YGR6E,journalArticle,2021,"Mabey, C.S.; Armstrong, A.G.; Mattson, C.A.; Salmon, J.L.; Hatch, N.W.; Dahlin, E.C.",A computational simulation-based framework for estimating potential product impact during product design,Hybrid,Decision Support / Policy Evaluation,"Local (OAT/OFAT), Regression / Statistical Inference",Design Science,,,10.1017/dsj.2021.16,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115074491&doi=10.1017%2Fdsj.2021.16&partnerID=40&md5=992c6f2560bc74e29191628442d506cc,"The impact of engineered products is a topic of concern in society. Product impact may fall under the categories of economic, environmental or social impact, with the last category defined as the effect of a product on the day-to-day life of people. Design teams lack sufficient tools to estimate the social impact of products, and the combined impacts of economic, environmental and social impacts for the products they are designing. This paper aims to provide a framework for the estimation of product impact during product design. To estimate product impact, models of both the product and society are required. This framework integrates models of the product, scenario, society and impact into an agent-based model to estimate product impact. Although this paper demonstrates the framework using only social impact, the framework can also be applied to economic or environmental impacts individually or all three concurrently. Agent-based modelling has been used previously for product adoption models, but it has not been extended to estimate product impact. Having tools for impact estimation allows for optimising the product design parameters to increase the potential positive impact and reduce potential negative impact. © The Author(s), 2021. Published by Cambridge University Press.",Thiago,2021,2026-03-17 21:30:25,2026-03-17 21:30:25,,,,,7,,,,,,,,,,,,,rayyan-448618526,,,,,C:\Users\Thiago\Zotero\storage\2W9ESWKH\Mabey et al. - 2021 - A computational simulation-based framework for estimating potential product impact during product de.pdf,,Sustainability; Agent-based simulation; Social impact; Systems engineering,,,,,,,
